##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
660.3165, 26.11200
660.7986, 27.39676
661.2807, 28.77484
661.7628, 31.13315
662.2449, 40.15839
662.7271, 47.29019
663.2092, 35.47708
663.6913, 9.950043
664.1734, 4.062286
664.6555, 4.640137
665.1376, 22.86475
665.6198, 30.94629
666.1019, 27.93204
666.5840, 21.93671
667.0661, 6.364105
667.5482, 2.117981
668.0303, 8.310059
668.5125, 24.01447
668.9946, 30.73679
669.4767, 27.00610
669.9588, 22.06955
670.4409, 17.30441
670.9230, 15.26373
671.4052, 21.21448
671.8873, 31.39749
672.3694, 36.39499
672.8515, 33.44281
673.3336, 27.85040
673.8157, 25.31870
674.2979, 25.65402
674.7800, 26.38654
675.2621, 28.27713
675.7442, 28.48312
676.2263, 24.09155
676.7084, 19.52472
677.1906, 19.32486
677.6727, 23.04630
678.1548, 26.22632
678.6369, 27.57092
679.1190, 28.39548
679.6011, 29.92926
680.0833, 31.12482
680.5654, 30.36218
681.0475, 27.50507
681.5296, 23.75735
682.0117, 20.06686
682.4938, 16.12341
682.9760, 9.127869
683.4581, 2.127838
683.9402, 4.286499
684.4223, 9.512024
684.9044, 24.97394
685.3865, 29.61771
685.8687, 25.74637
686.3508, 25.76758
686.8329, 37.04797
687.3150, 41.75482
687.7971, 27.42276
688.2792, 11.66006
688.7614, 12.04584
689.2435, 23.99533
689.7256, 31.58594
690.2077, 26.01038
690.6898, 15.82208
691.1719, 12.67108
691.6541, 15.77399
692.1362, 21.59619
692.6183, 30.29169
693.1004, 37.49136
693.5825, 40.55725
694.0646, 40.64166
694.5468, 40.78119
695.0289, 43.44748
695.5110, 40.22046
695.9931, 22.53336
696.4752, 9.048248
696.9573, 10.22290
697.4395, 17.94373
697.9216, 21.80673
698.4037, 18.29260
698.8858, 14.32379
699.3679, 17.04208
699.8500, 21.59763
700.3322, 17.62836
700.8143, 7.259705
701.2964, 3.643555
701.7785, 11.91187
702.2606, 24.49078
702.7427, 32.05212
703.2249, 34.50034
703.7070, 34.94922
704.1891, 33.19104
704.6712, 29.12723
705.1533, 16.09186
705.6354, 6.322937
706.1176, 14.53946
706.5997, 37.63892
707.0818, 52.08533
707.5639, 42.52783
708.0460, 28.75690
708.5281, 22.06030
709.0103, 20.02362
709.4924, 21.73972
709.9745, 25.74911
710.4566, 26.43433
710.9387, 18.95862
711.4208, 7.729309
711.9030, 4.471436
712.3851, 9.887665
712.8672, 15.42407
713.3493, 19.89932
713.8314, 24.74060
714.3135, 32.79059
714.7957, 41.56555
715.2778, 43.06461
715.7599, 32.16132
716.2420, 25.43265
716.7241, 29.17932
717.2062, 33.97433
717.6884, 34.70847
718.1705, 31.76178
718.6526, 25.76282
719.1347, 16.98425
719.6168, 9.476471
720.0989, 7.585510
720.5811, 9.809845
721.0632, 13.79471
721.5453, 19.11075
722.0274, 21.37445
722.5095, 19.31421
722.9916, 15.00641
723.4738, 11.25079
723.9559, 8.002258
724.4380, 6.354462
