##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
617.0678, 14.18399
617.5499, 34.56932
618.0320, 43.69543
618.5142, 31.07204
618.9963, 14.94000
619.4784, 9.901840
619.9605, 14.95305
620.4426, 20.25278
620.9247, 19.08405
621.4069, 13.42494
621.8890, 7.472763
622.3711, 0.5057980
622.8532, 2.408997
623.3353, 1.155670
623.8174, 8.452881
624.2996, 18.45001
624.7817, 30.85727
625.2638, 37.78059
625.7459, 33.78748
626.2280, 26.45354
626.7101, 20.18768
627.1923, 15.22340
627.6744, 11.33452
628.1565, 8.449448
628.6386, 6.889954
629.1207, 7.591644
629.6028, 11.66171
630.0850, 13.50504
630.5671, 7.649918
631.0492, 5.300690
631.5313, 15.99533
632.0134, 30.68387
632.4955, 33.85045
632.9777, 18.89781
633.4598, 1.513840
633.9419, 1.850708
634.4240, 4.769958
634.9061, 8.740601
635.3882, 8.400009
635.8704, 7.012787
636.3525, 6.542252
636.8346, 7.068512
637.3167, 9.168015
637.7988, 17.07434
638.2809, 20.75536
638.7631, 14.70566
639.2452, 6.258347
639.7273, 2.100357
640.2094, 2.741608
640.6915, 5.056976
641.1736, 7.001770
641.6558, 8.415710
642.1379, 8.611343
642.6200, 7.440186
643.1021, 5.545441
643.5842, 1.607941
644.0663, 1.546234
644.5485, 0.3615570
645.0306, 5.018372
645.5127, 9.534027
645.9948, 11.00571
646.4769, 11.75525
646.9590, 13.80879
647.4412, 16.61336
647.9233, 18.45068
648.4054, 18.63997
648.8875, 18.25148
649.3696, 18.79460
649.8517, 20.24814
650.3339, 22.82231
650.8160, 28.97217
651.2981, 33.24464
651.7802, 31.21021
652.2623, 27.29257
652.7444, 29.03940
653.2266, 39.47922
653.7087, 47.95091
654.1908, 44.32133
654.6729, 33.17155
655.1550, 23.89012
655.6371, 17.51050
656.1193, 12.48866
656.6014, 7.206955
657.0835, 3.011414
657.5656, 5.048248
658.0477, 22.37173
658.5298, 33.55740
659.0120, 37.26477
659.4941, 35.86652
659.9762, 27.05132
660.4583, 14.35178
660.9404, 7.137024
661.4225, 11.92256
661.9047, 22.31244
662.3868, 26.90508
662.8689, 25.94896
663.3510, 26.73633
663.8331, 31.00897
664.3152, 37.14442
664.7974, 45.44476
665.2795, 55.34476
665.7616, 58.45323
666.2437, 48.73080
666.7258, 39.01215
667.2079, 34.39661
667.6901, 31.81874
668.1722, 26.79051
668.6543, 18.83530
669.1364, 13.76233
669.6185, 18.52745
670.1006, 30.56686
670.5828, 38.96388
671.0649, 44.39450
671.5470, 44.10599
672.0291, 31.62694
672.5112, 17.32809
672.9933, 15.32144
673.4755, 26.30679
673.9576, 30.43988
674.4397, 9.522446
674.9218, 9.475189
675.4039, 1.976730
675.8860, 31.84055
676.3682, 49.10919
676.8503, 41.79962
677.3324, 23.81718
677.8145, 15.38989
678.2966, 17.92307
678.7787, 18.83450
679.2609, 18.34897
679.7430, 15.82187
680.2251, 7.450531
680.7072, 1.471558
681.1893, 2.941147
681.6714, 5.060806
682.1536, 13.90981
682.6357, 19.28387
683.1178, 22.43117
683.5999, 25.76678
684.0820, 28.65872
684.5641, 27.97617
685.0463, 21.77733
685.5284, 13.47601
686.0105, 11.42151
686.4926, 19.89195
686.9747, 24.42877
687.4568, 20.66896
687.9390, 17.33064
688.4211, 19.91946
688.9032, 25.05905
689.3853, 26.01480
689.8674, 20.00952
690.3495, 11.99797
690.8317, 3.077988
691.3138, 4.328568
691.7959, 3.604858
692.2780, 5.993652
692.7601, 16.79208
693.2422, 23.88965
693.7244, 27.66098
694.2065, 30.69101
694.6886, 34.74254
695.1707, 35.35806
695.6528, 29.47209
696.1349, 23.21565
696.6171, 19.78510
697.0992, 18.67041
697.5813, 18.54863
698.0634, 19.46182
698.5455, 19.71429
699.0276, 16.08456
699.5098, 9.983231
699.9919, 5.437790
700.4740, 3.076401
700.9561, 4.173752
701.4382, 10.69524
