##NAMES=Yarrowite
##RRUFFID=R060536
##IDEAL CHEMISTRY=Cu_9_S_8_
##LOCALITY=Yarrow Creek, southwestern Alberta, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black metallic massive, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060536
815.770, 95.047
816.252, 41.568
816.734, 28.620
817.217, 58.471
817.699, 86.879
818.181, 77.825
818.663, 60.480
819.145, 61.866
819.627, 91.286
820.109, 96.727
820.591, 61.202
821.073, 20.562
821.556, 5.737
822.038, 17.224
822.520, 28.580
823.002, 40.213
823.484, 44.589
823.966, 43.391
824.448, 27.620
824.930, 31.962
825.413, 139.676
825.895, 206.336
826.377, 158.829
826.859, 87.980
827.341, 47.786
827.823, 39.539
828.305, 56.708
828.787, 108.321
829.269, 162.921
829.752, 208.078
830.234, 239.139
830.716, 213.806
831.198, 131.106
831.680, 55.114
832.162, 31.649
832.644, 41.075
833.127, 77.798
833.609, 146.703
834.091, 184.233
834.573, 146.134
835.055, 99.523
835.537, 73.998
836.019, 70.934
836.501, 79.501
836.983, 102.125
837.466, 119.395
837.948, 102.672
838.430, 73.516
838.912, 83.085
839.394, 132.579
839.876, 165.377
840.358, 124.623
840.840, 74.726
841.322, 62.529
841.805, 99.867
842.287, 116.023
842.769, 104.477
843.251, 83.143
843.733, 43.812
844.215, 5.182
844.697, 58.230
845.179, 94.340
845.661, 104.609
846.144, 11.227
846.626, 51.367
