##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
634.8633, 7.913254
635.3455, 0.3364790
635.8276, 4.370033
636.3097, 1.898689
636.7918, 2.956161
637.2739, 7.033432
637.7560, 10.34956
638.2382, 12.68295
638.7203, 13.99342
639.2024, 14.30693
639.6845, 13.50143
640.1666, 11.64032
640.6487, 9.115555
641.1309, 5.180542
641.6130, 1.782944
642.0951, 2.793373
642.5772, 6.702072
643.0594, 9.299049
643.5415, 6.954247
644.0236, 4.073669
644.5057, 3.336121
644.9879, 4.620834
645.4700, 5.644249
645.9521, 6.940002
646.4342, 7.782913
646.9163, 7.423889
647.3984, 5.535034
647.8806, 4.820282
648.3627, 5.915733
648.8448, 6.987999
649.3269, 6.221840
649.8090, 3.620361
650.2911, 1.989380
650.7733, 1.550888
651.2554, 1.944122
651.7375, 2.651962
652.2196, 3.856758
652.7017, 6.331802
653.1838, 11.49678
653.6660, 15.60104
654.1481, 14.16553
654.6302, 9.907379
655.1123, 7.610313
655.5944, 11.60746
656.0765, 14.90450
656.5587, 15.06431
657.0408, 12.85116
657.5229, 10.67450
658.0050, 7.786613
658.4871, 5.728722
658.9692, 4.844864
659.4514, 5.151932
659.9335, 7.604034
660.4156, 12.59934
660.8977, 16.25761
661.3798, 15.15453
661.8619, 10.92981
662.3441, 7.730705
662.8262, 5.789581
663.3083, 5.217682
663.7904, 7.861984
664.2725, 11.07707
664.7546, 11.52703
665.2368, 7.096954
665.7189, 3.868980
666.2010, 4.666428
666.6831, 7.347961
667.1652, 9.529121
667.6473, 11.41022
668.1295, 12.17641
668.6116, 11.13538
669.0937, 9.428787
669.5758, 9.846939
670.0579, 12.79449
670.5400, 13.77489
671.0222, 10.57394
671.5043, 5.566658
