##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
699.8442, 600.4844
700.3264, 597.4297
700.8085, 634.9805
701.2906, 646.4414
701.7727, 624.9570
702.2548, 623.3633
702.7369, 663.6953
703.2191, 700.7812
703.7012, 698.3242
704.1833, 666.7305
704.6654, 640.5625
705.1475, 630.3320
705.6296, 609.7109
706.1118, 555.3477
706.5939, 501.8828
707.0760, 469.7617
707.5581, 463.3164
708.0402, 499.1445
708.5223, 594.2930
709.0044, 674.4727
709.4865, 589.0078
709.9686, 384.6094
710.4507, 328.6523
710.9329, 455.4492
711.4150, 550.2578
711.8971, 480.0000
712.3792, 314.5430
712.8613, 216.3242
713.3434, 192.7031
713.8256, 221.3672
714.3077, 382.2305
714.7898, 498.8125
715.2719, 469.7031
715.7540, 368.5352
716.2361, 308.1172
716.7183, 314.9180
717.2004, 319.8242
717.6825, 273.5430
718.1646, 210.2461
718.6467, 164.7891
719.1288, 137.3281
719.6110, 122.7266
720.0931, 119.2383
720.5752, 123.5039
721.0573, 125.9375
721.5394, 128.4258
722.0215, 128.2969
722.5037, 119.1328
722.9858, 132.1328
723.4679, 207.3477
723.9500, 281.2500
724.4321, 254.7266
724.9142, 126.6445
725.3964, 49.48438
725.8785, 69.16406
726.3606, 105.0469
726.8427, 135.6445
727.3248, 158.3086
727.8069, 178.3398
728.2891, 193.3242
728.7712, 181.9414
729.2533, 110.8203
729.7354, 21.83984
730.2175, 34.66797
730.6996, 52.63281
731.1818, 2.550781
731.6639, 122.8594
732.1460, 228.6152
732.6281, 225.8242
733.1102, 135.2539
733.5923, 78.11133
734.0745, 87.08789
734.5566, 57.45898
735.0387, 104.6836
735.5208, 224.6758
736.0029, 156.8145
736.4850, 24.40820
736.9672, 122.3086
737.4493, 54.91797
737.9314, 3.132813
738.4135, 45.78906
738.8956, 126.4570
