##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
667.7330, 1651.189
668.2151, 1648.768
668.6972, 1645.985
669.1793, 1642.468
669.6614, 1637.430
670.1436, 1631.127
670.6257, 1627.434
671.1078, 1628.053
671.5899, 1627.737
672.0720, 1624.102
672.5541, 1619.590
673.0363, 1615.703
673.5184, 1612.620
674.0005, 1610.607
674.4826, 1610.599
674.9647, 1611.021
675.4468, 1610.516
675.9290, 1609.130
676.4111, 1606.965
676.8932, 1604.050
677.3753, 1600.672
677.8574, 1597.066
678.3395, 1593.192
678.8217, 1590.188
679.3038, 1589.259
679.7859, 1587.676
680.2680, 1584.654
680.7501, 1581.045
681.2322, 1577.459
681.7144, 1574.066
682.1965, 1570.917
682.6786, 1567.825
683.1607, 1565.199
683.6428, 1564.448
684.1249, 1565.210
684.6071, 1564.152
685.0892, 1559.930
685.5713, 1554.776
686.0534, 1551.213
686.5355, 1549.368
687.0176, 1547.021
687.4998, 1543.845
687.9819, 1540.619
688.4640, 1537.452
688.9461, 1534.381
689.4282, 1531.170
689.9103, 1527.977
690.3925, 1525.595
690.8746, 1524.972
691.3567, 1525.258
691.8388, 1524.488
692.3209, 1522.655
692.8030, 1520.093
693.2852, 1516.574
693.7673, 1512.957
694.2494, 1510.114
694.7315, 1508.014
695.2136, 1506.011
695.6957, 1504.834
696.1779, 1502.837
696.6600, 1498.314
697.1421, 1493.351
697.6242, 1490.679
698.1063, 1490.286
698.5884, 1489.782
699.0706, 1487.281
699.5527, 1483.488
700.0348, 1480.194
700.5169, 1477.300
700.9990, 1475.773
701.4811, 1476.957
701.9633, 1477.920
702.4454, 1475.750
702.9275, 1471.260
703.4096, 1466.965
703.8917, 1462.900
704.3738, 1459.481
704.8560, 1457.193
705.3381, 1455.430
705.8202, 1453.390
706.3023, 1451.053
706.7844, 1448.995
707.2665, 1447.673
707.7487, 1446.684
708.2308, 1444.729
708.7129, 1441.348
709.1950, 1439.341
709.6771, 1440.752
710.1592, 1441.305
710.6414, 1437.064
711.1235, 1430.227
711.6056, 1425.587
712.0877, 1424.753
712.5698, 1424.236
713.0519, 1422.765
713.5341, 1420.473
714.0162, 1417.050
