##NAMES=Stilpnomelane
##RRUFFID=R110195
##IDEAL CHEMISTRY=(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_&#183;nH_2_O
##LOCALITY=Broughton talc mine, Saint-Pierre-de-Broughton, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Aggregates of dark green plates, 180 deg twin around (-2 0 3) = [0 1 2].
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110195
650.2296, 4.876678
650.7117, 4.658535
651.1938, 4.586197
651.6760, 4.685165
652.1581, 4.928101
652.6402, 5.268307
653.1223, 5.803955
653.6044, 6.197971
654.0865, 6.009315
654.5687, 5.480762
655.0508, 5.081627
655.5329, 4.958893
656.0150, 5.017429
656.4971, 5.348087
656.9792, 5.881084
657.4614, 6.204494
657.9435, 6.143864
658.4256, 6.101929
658.9077, 6.259747
659.3898, 6.607807
659.8719, 6.660866
660.3541, 6.340137
660.8362, 6.116173
661.3183, 6.429138
661.8004, 7.155018
662.2825, 7.575905
662.7646, 7.641289
663.2468, 7.590317
663.7289, 7.702362
664.2110, 7.798882
664.6931, 7.588051
665.1752, 6.827446
665.6573, 6.233917
666.1395, 6.400742
666.6216, 6.799339
667.1037, 6.779083
667.5858, 5.425205
668.0679, 4.756298
668.5500, 5.440636
669.0322, 6.671501
669.5143, 6.488205
669.9964, 4.525024
670.4785, 2.936703
670.9606, 2.506138
671.4427, 2.806046
671.9249, 2.577461
672.4070, 1.911541
672.8891, 1.554062
673.3712, 2.337147
673.8533, 3.436996
674.3354, 3.936733
674.8176, 3.838226
675.2997, 3.437088
675.7818, 2.544014
676.2639, 1.657715
676.7460, 1.083858
677.2281, 0.9199140
677.7103, 0.8819920
678.1924, 0.9496690
678.6745, 1.136345
679.1566, 1.554504
679.6387, 2.366306
680.1208, 2.591599
680.6030, 2.048538
681.0851, 1.263229
681.5672, 0.8133200
682.0493, 0.6736600
682.5314, 0.7486610
683.0135, 1.174767
683.4957, 1.530354
683.9778, 1.137161
684.4599, 0.3228650
684.9420, 0.2625580
685.4241, 0.2165150
685.9063, 7.1129002E-02
686.3884, 0.1257820
686.8705, 0.2521780
687.3526, 2.6333001E-02
687.8347, 1.312717
688.3168, 2.158878
688.7990, 2.081509
689.2811, 1.216774
689.7632, 0.3784710
690.2453, 0.4770200
690.7274, 0.9161680
691.2095, 0.4297560
691.6917, 0.6759680
692.1738, 1.503506
692.6559, 2.041393
693.1380, 2.276535
693.6201, 1.892475
694.1022, 1.384037
694.5844, 1.269005
695.0665, 1.674290
695.5486, 2.063305
696.0307, 2.296253
696.5128, 2.410862
