##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
554.4690, 11.25650
554.9510, 20.98715
555.4330, 33.55533
555.9150, 39.75586
556.3970, 26.94208
556.8790, 12.47858
557.3620, 20.65915
557.8440, 47.85760
558.3260, 66.01303
558.8080, 53.96350
559.2900, 21.25293
559.7720, 2.862152
560.2540, 2.675140
560.7360, 7.614624
561.2180, 20.38959
561.7010, 34.09421
562.1830, 45.56683
562.6650, 54.40073
563.1470, 59.48557
563.6290, 36.41327
564.1110, 27.70093
564.5930, 12.30039
565.0750, 24.21613
565.5570, 29.48242
566.0400, 28.45007
566.5220, 2.377472
567.0040, 8.671722
567.4860, 1.702515
567.9680, 1.556091
568.4500, 3.239868
568.9320, 7.773376
569.4140, 12.99737
569.8960, 17.30203
570.3790, 14.55563
570.8610, 3.340515
571.3430, 0.2618100
571.8250, 11.22055
572.3070, 5.306458
572.7890, 15.03131
573.2710, 18.55408
573.7530, 2.695343
574.2360, 8.035461
574.7180, 5.926361
575.2000, 3.295624
575.6820, 18.49408
576.1640, 0.8289490
576.6460, 15.73227
577.1280, 17.62695
577.6100, 25.46902
578.0930, 20.41879
578.5750, 19.34509
579.0570, 31.15887
579.5390, 35.82944
580.0210, 29.27887
580.5030, 37.32806
580.9850, 18.35883
581.4670, 22.22870
581.9500, 36.74139
582.4320, 30.82846
582.9140, 39.23764
583.3960, 42.18182
583.8780, 20.31839
584.3600, 31.22726
584.8420, 35.51666
585.3240, 47.14374
585.8060, 50.91068
586.2890, 42.82187
586.7710, 32.79510
587.2530, 32.54849
587.7350, 42.37186
588.2170, 45.37488
588.6990, 34.86008
589.1810, 25.72379
589.6630, 21.52014
590.1450, 20.14621
590.6280, 20.52020
591.1100, 22.27524
591.5920, 22.89835
592.0740, 17.83163
592.5560, 11.86911
593.0380, 13.79721
593.5200, 23.27054
594.0020, 35.04254
594.4840, 47.86682
594.9670, 57.74536
595.4490, 56.82254
595.9310, 39.81281
596.4130, 25.13501
596.8950, 10.62561
597.3770, 0.8089600
597.8590, 0.3675540
598.3410, 5.003693
598.8230, 7.153412
599.3060, 3.113251
599.7880, 0.6764830
600.2700, 4.601990
600.7520, 15.98764
601.2340, 19.86191
601.7160, 13.41696
602.1980, 11.54877
602.6800, 26.37491
603.1620, 52.15076
603.6450, 67.85828
604.1270, 74.82175
604.6090, 70.32925
605.0910, 40.97232
605.5730, 11.82660
606.0550, 3.975494
606.5370, 13.78940
607.0190, 25.63956
607.5020, 31.11856
607.9840, 32.01541
608.4660, 28.29617
608.9480, 19.99884
609.4300, 24.67746
609.9120, 52.05499
610.3940, 78.65741
610.8760, 84.43100
611.3590, 71.06317
611.8410, 55.81497
612.3230, 33.27533
612.8050, 16.28259
613.2870, 9.941925
613.7690, 10.48105
614.2510, 16.08487
614.7330, 24.94638
615.2160, 32.50238
615.6980, 34.78644
616.1800, 33.39169
616.6620, 34.67212
617.1440, 40.14200
617.6260, 38.84232
618.1080, 22.70941
618.5900, 5.833038
619.0720, 4.849335
619.5550, 17.43295
620.0370, 25.71585
620.5190, 22.05405
621.0010, 18.41559
621.4830, 23.23251
621.9650, 31.22073
622.4470, 33.47806
622.9290, 28.43771
623.4110, 21.60330
623.8940, 17.99731
624.3760, 17.23782
624.8580, 12.58542
625.3400, 0.8156740
625.8220, 14.86273
626.3040, 23.54437
626.7860, 25.66406
627.2680, 1.169037
627.7500, 11.16876
628.2330, 7.338562
628.7150, 2.721954
629.1970, 17.16098
629.6790, 4.521790
630.1610, 9.841339
630.6430, 10.33530
631.1250, 17.25928
631.6070, 6.851227
632.0890, 15.54413
632.5720, 39.25034
633.0540, 54.43948
633.5360, 60.97763
634.0180, 62.05341
634.5000, 57.36301
634.9820, 49.14203
635.4640, 38.22751
635.9460, 24.07352
636.4290, 16.41016
636.9110, 19.90161
637.3930, 29.76318
637.8750, 11.88275
638.3570, 31.95905
638.8390, 42.78275
639.3210, 44.90942
639.8030, 12.22421
640.2860, 24.51706
640.7680, 18.80362
641.2500, 12.32779
641.7320, 30.91641
642.2140, 3.288971
642.6960, 19.04614
643.1780, 17.82971
643.6600, 17.60678
644.1430, 17.11823
644.6250, 14.77097
645.1070, 2.318573
645.5890, 5.279053
646.0710, 10.76840
646.5530, 40.18753
647.0350, 57.11398
647.5170, 51.73203
647.9990, 40.26852
648.4820, 38.30383
648.9640, 44.70682
649.4460, 27.16672
649.9280, 40.95325
650.4100, 47.10748
650.8920, 46.06866
651.3740, 16.29831
651.8560, 23.68512
652.3380, 16.18143
652.8210, 8.065338
653.3030, 20.67706
653.7850, 8.911926
654.2670, 15.17877
654.7490, 31.99286
655.2310, 42.64551
655.7130, 41.17151
656.1950, 36.67627
656.6770, 31.00519
657.1600, 24.89136
657.6420, 12.51810
658.1240, 29.93430
658.6060, 40.21533
659.0880, 43.69556
659.5700, 19.91983
660.0520, 31.29422
660.5340, 28.61835
661.0160, 25.36340
661.4990, 41.87946
661.9810, 35.16855
662.4630, 41.69571
662.9450, 49.89798
663.4270, 51.33987
663.9090, 43.56552
664.3910, 34.56174
664.8730, 31.51782
665.3560, 34.28790
665.8380, 21.91473
666.3200, 37.71890
666.8020, 46.66830
667.2840, 49.15091
667.7660, 25.79153
668.2480, 35.79922
668.7300, 32.43411
669.2130, 28.52057
669.6950, 43.22540
670.1770, 23.62250
670.6590, 38.01633
671.1410, 38.80490
671.6230, 45.81012
672.1050, 39.38217
672.5870, 37.12518
673.0700, 36.93750
673.5520, 37.44791
674.0340, 29.90857
674.5160, 13.94330
674.9980, 7.451874
675.4800, 18.84293
675.9620, 35.49503
676.4440, 41.09296
676.9260, 33.60638
677.4090, 30.32492
677.8910, 16.15738
678.3730, 28.64407
678.8550, 34.65909
679.3370, 34.55136
679.8190, 9.982971
680.3010, 16.99921
680.7830, 11.35675
681.2650, 5.194672
681.7480, 16.65375
682.2300, 7.387726
682.7120, 16.45566
683.1940, 26.64175
683.6760, 24.10547
684.1580, 17.78745
684.6400, 17.36853
685.1220, 22.54794
685.6040, 25.03152
686.0870, 21.28104
686.5690, 19.91577
687.0510, 25.77405
687.5330, 31.28943
688.0150, 33.06552
688.4970, 29.93277
688.9790, 19.60654
689.4610, 11.73572
689.9430, 34.87543
690.4260, 13.61615
690.9080, 30.59357
691.3900, 54.30106
691.8720, 50.61493
692.3540, 37.76773
692.8360, 26.30542
693.3180, 23.90488
693.8000, 6.877228
694.2830, 27.04434
694.7650, 38.18225
695.2470, 40.77692
695.7290, 9.224548
696.2110, 21.76074
696.6930, 16.63382
697.1750, 10.78424
697.6570, 29.51468
698.1400, 2.943756
698.6220, 21.29645
699.1040, 21.70453
699.5860, 17.96790
700.0680, 24.29160
700.5500, 33.62454
701.0320, 39.30725
701.5140, 39.66873
701.9970, 28.27396
702.4790, 6.250977
702.9610, 6.243042
703.4430, 7.165527
703.9250, 0.7890320
704.4070, 20.77560
704.8890, 44.53003
705.3710, 51.04736
705.8530, 30.86166
706.3360, 17.09790
706.8180, 10.69611
707.3000, 11.30017
707.7820, 26.41333
708.2640, 45.58759
708.7460, 51.02194
709.2280, 37.73520
709.7100, 22.87338
710.1920, 20.74945
710.6750, 26.75253
711.1570, 35.33243
711.6390, 44.93661
712.1210, 45.05661
712.6030, 30.12952
713.0850, 14.17215
713.5670, 17.56369
