##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
683.1674, 49.25195
683.6495, 46.93127
684.1317, 41.33386
684.6138, 30.95007
685.0959, 25.41174
685.5780, 29.46057
686.0601, 32.64880
686.5422, 34.60046
687.0244, 33.17664
687.5065, 21.66211
687.9886, 1.293823
688.4707, 9.283936
688.9528, 9.158936
689.4349, 36.13306
689.9171, 50.89954
690.3992, 54.71045
690.8813, 49.38074
691.3634, 35.72546
691.8455, 21.78455
692.3276, 15.42200
692.8098, 16.20386
693.2919, 21.40808
693.7740, 35.44421
694.2561, 43.98877
694.7382, 36.04858
695.2203, 29.41589
695.7025, 41.60852
696.1846, 66.29565
696.6667, 78.68591
697.1488, 63.75854
697.6309, 48.70227
698.1130, 49.50610
698.5952, 57.48657
699.0773, 65.87317
699.5594, 71.58606
700.0415, 65.92883
700.5236, 40.60217
701.0057, 8.117798
701.4879, 6.776489
701.9700, 3.327759
