##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
558.2319, 2327823.
558.7140, 2327928.
559.1961, 2327557.
559.6782, 2326356.
560.1603, 2324324.
560.6425, 2322525.
561.1246, 2320897.
561.6067, 2319656.
562.0888, 2318966.
562.5709, 2318604.
563.0530, 2318381.
563.5352, 2318265.
564.0173, 2318053.
564.4994, 2317523.
564.9815, 2316760.
565.4636, 2316000.
565.9457, 2315242.
566.4279, 2314611.
566.9100, 2314183.
567.3921, 2313960.
567.8742, 2313907.
568.3563, 2314170.
568.8384, 2314352.
569.3206, 2314343.
569.8027, 2314167.
570.2848, 2313876.
570.7669, 2313465.
571.2490, 2312821.
571.7311, 2311813.
572.2133, 2310484.
572.6954, 2309359.
573.1775, 2308517.
573.6596, 2307783.
574.1417, 2307051.
574.6238, 2306466.
575.1060, 2306209.
575.5881, 2306268.
576.0702, 2306428.
576.5523, 2306615.
577.0344, 2306757.
577.5165, 2306513.
577.9987, 2305797.
578.4808, 2305096.
578.9629, 2304661.
579.4450, 2304337.
579.9271, 2303867.
580.4092, 2303205.
580.8914, 2302697.
581.3735, 2302687.
581.8556, 2302759.
582.3377, 2302337.
582.8198, 2301481.
583.3019, 2300737.
583.7841, 2300400.
584.2662, 2300410.
584.7483, 2300613.
585.2304, 2301025.
585.7125, 2301606.
586.1946, 2303168.
586.6768, 2304169.
587.1589, 2303060.
587.6410, 2300556.
588.1231, 2298680.
588.6052, 2298681.
589.0873, 2299728.
589.5695, 2300100.
590.0516, 2299702.
590.5337, 2299329.
591.0158, 2299191.
591.4979, 2299056.
591.9800, 2298909.
592.4622, 2298664.
592.9443, 2297920.
593.4264, 2296141.
593.9085, 2294204.
594.3906, 2292685.
594.8727, 2291601.
595.3549, 2291147.
595.8370, 2291438.
596.3191, 2291773.
596.8012, 2291174.
597.2833, 2289358.
597.7654, 2288627.
598.2476, 2290366.
598.7297, 2291422.
599.2118, 2290296.
599.6939, 2288154.
600.1760, 2286415.
600.6581, 2285521.
601.1403, 2285177.
601.6224, 2285197.
602.1045, 2285555.
602.5866, 2285653.
603.0687, 2285321.
603.5508, 2285086.
604.0330, 2285361.
604.5151, 2285814.
604.9972, 2286058.
605.4793, 2286061.
605.9614, 2285810.
606.4435, 2285221.
606.9257, 2284410.
607.4078, 2283442.
607.8899, 2282369.
608.3720, 2281447.
608.8541, 2280854.
609.3362, 2280523.
609.8184, 2280222.
610.3005, 2279825.
610.7826, 2279690.
611.2647, 2280293.
611.7468, 2280754.
612.2289, 2280323.
612.7111, 2279266.
613.1932, 2278457.
613.6753, 2278488.
614.1574, 2278735.
614.6395, 2277696.
615.1216, 2275184.
615.6038, 2273897.
616.0859, 2275012.
616.5680, 2276464.
617.0501, 2276338.
617.5322, 2275073.
618.0143, 2274149.
618.4965, 2274279.
618.9786, 2274343.
619.4607, 2273415.
619.9428, 2272007.
620.4249, 2271195.
620.9070, 2271207.
621.3892, 2271219.
621.8713, 2270302.
622.3534, 2268482.
622.8355, 2267579.
623.3176, 2268566.
623.7997, 2269266.
624.2819, 2269319.
624.7640, 2268993.
625.2461, 2268374.
625.7282, 2267572.
626.2103, 2266969.
626.6924, 2267000.
627.1745, 2267396.
627.6566, 2267563.
628.1387, 2267514.
628.6208, 2267010.
629.1030, 2265714.
629.5851, 2264208.
630.0672, 2263512.
630.5493, 2263684.
631.0314, 2263379.
631.5135, 2261744.
631.9957, 2260182.
632.4778, 2259609.
632.9599, 2259766.
633.4420, 2260092.
633.9241, 2260363.
634.4063, 2260595.
634.8884, 2260880.
635.3705, 2261283.
635.8526, 2261094.
636.3347, 2259602.
636.8168, 2258517.
637.2990, 2258601.
637.7811, 2259282.
638.2632, 2260046.
638.7453, 2260817.
639.2274, 2261115.
639.7095, 2260382.
640.1917, 2259046.
640.6738, 2257771.
641.1559, 2256621.
641.6380, 2255671.
642.1201, 2255021.
642.6022, 2254513.
643.0844, 2253752.
643.5665, 2252497.
644.0486, 2251523.
644.5307, 2250721.
645.0128, 2250305.
645.4949, 2250719.
645.9771, 2251547.
646.4592, 2251969.
646.9413, 2251613.
647.4234, 2250920.
647.9055, 2250502.
648.3876, 2250350.
648.8698, 2250149.
649.3519, 2249910.
649.8340, 2249522.
650.3161, 2248907.
650.7982, 2248087.
651.2803, 2247048.
651.7625, 2245546.
652.2446, 2244446.
652.7267, 2244606.
653.2088, 2245013.
653.6909, 2244441.
654.1730, 2242954.
654.6552, 2241397.
655.1373, 2240272.
655.6194, 2239487.
656.1015, 2238742.
656.5836, 2237820.
657.0657, 2237523.
657.5479, 2238977.
658.0300, 2240024.
658.5121, 2239187.
658.9942, 2237357.
659.4763, 2236461.
659.9584, 2237392.
660.4406, 2238538.
660.9227, 2238445.
661.4048, 2237443.
661.8869, 2236230.
662.3690, 2234898.
662.8511, 2233845.
663.3333, 2233355.
663.8154, 2233359.
