##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=(Cu^2+^,Zn^2+^)_15_(CO_3_)_4_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_14_&#183;7H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
668.6972, 3.691014
669.1793, 3.990553
669.6614, 4.085379
670.1436, 3.981039
670.6257, 4.132324
671.1078, 4.990652
671.5899, 5.257187
672.0720, 3.803174
672.5541, 2.153692
673.0363, 1.619429
673.5184, 2.173372
674.0005, 2.680284
674.4826, 2.726449
674.9647, 2.451793
675.4468, 1.706568
675.9290, 0.7503460
676.4111, 0.4387720
676.8932, 1.065957
677.3753, 2.037109
677.8574, 2.690860
678.3395, 3.022544
678.8217, 3.147123
679.3038, 2.805437
679.7859, 2.584970
680.2680, 2.799386
680.7501, 3.031177
681.2322, 2.679784
681.7144, 1.837517
682.1965, 1.444854
682.6786, 2.683201
683.1607, 4.356910
683.6428, 4.138334
684.1249, 2.291305
684.6071, 1.179640
685.0892, 1.635489
685.5713, 2.591567
686.0534, 2.767891
686.5355, 2.080563
687.0176, 2.151463
687.4998, 3.960741
687.9819, 5.224211
688.4640, 5.044617
