##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
430.0056, 9.692265
430.4877, 10.61463
430.9698, 11.25301
431.4520, 11.35801
431.9341, 11.17229
432.4162, 11.36224
432.8983, 12.17485
433.3804, 12.74325
433.8625, 11.66568
434.3447, 8.466530
434.8268, 7.162540
435.3089, 10.12037
435.7910, 13.24156
436.2731, 13.32871
436.7552, 11.05909
437.2374, 9.306465
437.7195, 9.827183
438.2016, 11.90454
438.6837, 12.85563
439.1658, 11.38823
439.6479, 10.43291
440.1301, 10.32315
440.6122, 10.59122
441.0943, 11.03346
441.5764, 11.35676
442.0585, 11.61185
442.5406, 11.86165
443.0227, 12.07690
443.5049, 12.47990
443.9870, 13.55920
444.4691, 14.31892
444.9512, 14.51171
445.4333, 14.10435
445.9154, 12.93245
446.3976, 10.79789
446.8797, 8.570610
447.3618, 8.515011
447.8439, 11.72668
448.3260, 13.71408
448.8081, 12.59900
449.2903, 10.76263
449.7724, 9.419537
450.2545, 8.742504
450.7366, 8.608356
451.2187, 9.385105
451.7008, 10.70914
452.1830, 10.89680
452.6651, 9.542606
453.1472, 7.998737
453.6293, 6.868382
454.1114, 6.079464
454.5935, 5.674034
455.0757, 5.921837
455.5578, 6.048447
456.0399, 5.150906
456.5220, 3.505436
457.0041, 2.341408
457.4862, 2.100433
457.9684, 2.252098
458.4505, 1.910519
458.9326, 1.032520
459.4147, 1.086082
459.8968, 3.536003
460.3789, 6.155109
460.8611, 6.799706
461.3432, 5.645329
461.8253, 4.285271
462.3074, 3.638378
462.7895, 3.577435
463.2716, 3.577816
463.7538, 4.353458
464.2359, 4.261608
464.7180, 2.034462
465.2001, 0.5664290
465.6822, 1.652611
466.1643, 0.9173850
466.6465, 0.6128230
467.1286, 1.866695
467.6107, 2.838089
468.0928, 3.678577
468.5749, 5.142159
469.0570, 5.643608
469.5392, 3.644260
470.0213, 0.7018360
470.5034, 0.7077750
470.9855, 0.5527990
471.4676, 2.972050
471.9497, 3.778442
472.4319, 2.526455
472.9140, 1.624203
473.3961, 1.823689
473.8782, 2.141235
474.3603, 1.928978
474.8424, 1.279263
475.3246, 0.6478230
475.8067, 0.3389930
476.2888, 0.2203220
476.7709, 0.1643710
477.2530, 0.9452360
477.7351, 1.068432
478.2173, 8.1501000E-02
478.6994, 2.066158
479.1815, 4.452480
479.6636, 7.644257
480.1457, 9.771740
480.6278, 8.947575
