##NAMES=Moorhouseite
##RRUFFID=R130745
##IDEAL CHEMISTRY=Co^2+^S^6+^O_4_&#183;6H_2_O
##LOCALITY=Bou Azer, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Light-pinkish fine grains, associated with pink or dark pink spherocobaltite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130745
560.1290, 1.071716
560.6111, 0.5321040
561.0933, 0.6545410
561.5754, 1.324890
562.0575, 1.740051
562.5396, 1.678772
563.0217, 1.444397
563.5038, 1.176453
563.9860, 0.9314580
564.4681, 0.2683110
564.9502, 1.156250
565.4323, 2.475769
565.9144, 2.698669
566.3965, 1.721313
566.8787, 0.8898930
567.3608, 0.3765870
567.8429, 0.1132200
568.3250, 0.2091060
568.8071, 0.5517580
569.2892, 0.5177000
569.7714, 0.4680180
570.2535, 1.789368
570.7356, 2.698669
571.2177, 3.211487
571.6998, 3.352295
572.1819, 2.727783
572.6641, 2.015381
573.1462, 1.731567
573.6283, 1.966125
574.1104, 2.420532
574.5925, 3.270630
575.0746, 4.147095
575.5568, 4.729736
576.0389, 4.928467
576.5210, 4.868347
577.0031, 4.349792
577.4852, 3.664917
577.9673, 3.497009
578.4495, 4.096130
578.9316, 4.401489
579.4137, 3.839172
579.8958, 2.785950
580.3779, 3.075012
580.8600, 4.768188
581.3422, 6.434082
581.8243, 6.884521
582.3064, 6.627502
582.7885, 6.727722
583.2706, 7.259338
583.7527, 8.202698
584.2349, 10.01489
584.7170, 12.04584
585.1991, 13.42371
585.6812, 13.48724
586.1633, 13.61871
586.6454, 14.63403
587.1276, 16.05676
587.6097, 17.02344
588.0918, 16.62207
588.5739, 16.50391
589.0560, 17.10785
589.5381, 18.32990
590.0203, 19.39117
590.5024, 20.16565
590.9845, 21.05212
591.4666, 22.15765
591.9487, 23.48944
592.4308, 25.59003
592.9130, 28.62238
593.3951, 31.65454
593.8772, 33.53290
594.3593, 34.62537
594.8414, 36.11591
595.3235, 38.20740
595.8057, 40.52722
596.2878, 42.64801
596.7699, 44.70386
597.2520, 47.01495
597.7341, 49.45929
598.2162, 52.44440
598.6984, 56.85822
599.1805, 62.04559
599.6626, 66.08496
600.1447, 67.35071
600.6268, 68.44391
601.1089, 70.32642
601.5911, 73.15314
602.0732, 75.55304
602.5553, 77.51233
603.0374, 79.07623
603.5195, 80.15228
604.0016, 80.70203
604.4838, 81.51056
604.9659, 82.91992
605.4480, 83.59546
605.9301, 80.98108
606.4122, 75.90997
606.8943, 71.81091
607.3765, 70.11572
607.8586, 68.95209
608.3407, 66.27344
608.8228, 62.50427
609.3049, 58.75781
609.7870, 54.29108
610.2692, 50.98657
610.7513, 50.73749
611.2334, 53.20435
611.7155, 54.24860
612.1976, 51.92957
612.6797, 48.91467
613.1619, 46.29413
613.6440, 43.97058
614.1261, 42.46259
614.6082, 41.95319
615.0903, 41.95007
615.5724, 42.18286
616.0546, 42.66772
616.5367, 42.72888
617.0188, 42.19214
617.5009, 41.45306
617.9830, 41.25104
618.4651, 41.36426
618.9473, 40.97565
619.4294, 39.25055
619.9115, 37.52417
620.3936, 37.57593
620.8757, 38.75201
621.3578, 39.11017
621.8400, 36.83862
622.3221, 34.35559
622.8042, 32.82648
623.2863, 32.32349
623.7684, 31.93781
