##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
612.6075, 8.697021
613.0896, 9.200623
613.5717, 9.457336
614.0538, 9.433167
614.5359, 9.033569
615.0181, 8.364197
615.5002, 7.662781
615.9823, 6.474731
616.4644, 6.209045
616.9465, 8.222290
617.4286, 10.47241
617.9108, 10.99347
618.3929, 10.03784
618.8750, 9.063965
619.3571, 8.959717
619.8392, 9.542236
620.3214, 10.41467
620.8035, 11.74542
621.2856, 12.84839
621.7677, 13.45801
622.2498, 14.03540
622.7319, 14.93616
623.2141, 15.98370
623.6962, 16.65814
624.1783, 16.50604
624.6604, 16.37390
625.1425, 17.35565
625.6246, 19.06085
626.1068, 20.06982
626.5889, 20.01617
627.0710, 19.78369
627.5531, 20.15570
628.0352, 21.10608
628.5173, 22.20258
628.9995, 23.27576
629.4816, 24.68756
629.9637, 26.61304
630.4458, 28.82709
630.9279, 31.23340
631.4100, 33.74817
631.8922, 36.13629
632.3743, 38.04816
632.8564, 39.78577
633.3385, 42.59735
633.8206, 46.71600
634.3027, 50.95691
634.7849, 54.74860
635.2670, 58.77563
635.7491, 63.55585
636.2312, 69.11682
636.7133, 75.43268
637.1954, 84.74255
637.6776, 92.84308
638.1597, 96.23596
638.6418, 95.76367
639.1239, 93.45337
639.6060, 89.98566
640.0881, 85.20557
640.5703, 78.79468
641.0524, 70.61847
641.5345, 62.71234
642.0166, 54.01337
642.4987, 47.06964
642.9808, 43.49353
643.4630, 41.15289
643.9451, 37.67401
644.4272, 32.83118
644.9093, 28.69342
645.3914, 27.20868
645.8735, 27.53320
646.3557, 27.81616
646.8378, 28.02087
647.3199, 27.79614
647.8020, 26.79364
648.2841, 25.59436
648.7662, 25.12677
649.2484, 25.47357
649.7305, 26.15454
650.2126, 27.76050
650.6947, 28.92017
651.1768, 28.55310
651.6589, 27.42413
652.1411, 26.60687
652.6232, 26.50208
653.1053, 27.25696
653.5874, 29.58569
654.0695, 33.51941
654.5516, 35.22882
655.0338, 33.48694
655.5159, 32.01404
655.9980, 32.85217
656.4801, 34.60443
656.9622, 35.71021
657.4443, 35.97363
657.9265, 36.64447
658.4086, 38.72760
658.8907, 40.91254
659.3728, 41.83636
659.8549, 41.88397
660.3370, 42.09503
660.8192, 42.83264
661.3013, 43.82544
661.7834, 44.70038
662.2655, 45.37933
662.7476, 46.25116
663.2297, 47.50793
663.7119, 48.37177
664.1940, 48.80609
664.6761, 49.08759
665.1582, 49.29541
665.6403, 49.35596
666.1224, 49.19086
666.6046, 48.98535
667.0867, 48.56476
667.5688, 47.00098
668.0509, 44.17084
668.5330, 42.08008
669.0151, 42.04901
669.4973, 42.91937
669.9794, 42.28766
670.4615, 39.33301
670.9436, 37.17932
671.4257, 36.09912
671.9078, 35.62006
672.3900, 35.78882
672.8721, 36.18158
673.3542, 36.16034
673.8363, 35.52271
674.3184, 34.81238
674.8005, 34.71606
675.2827, 35.19104
675.7648, 35.71375
676.2469, 36.39447
676.7290, 36.66553
