##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
565.9144, 3.2593001E-02
566.3965, 1.049316
566.8787, 1.222107
567.3608, 8.1482001E-02
567.8429, 1.600403
568.3250, 2.378784
568.8071, 2.416931
569.2892, 2.526855
569.7714, 2.921692
570.2535, 3.683167
570.7356, 5.230530
571.2177, 7.406250
571.6998, 9.146912
572.1819, 9.261169
572.6641, 9.112366
573.1462, 9.877258
573.6283, 11.90362
574.1104, 13.69183
574.5925, 14.66595
575.0746, 15.26392
575.5568, 15.89575
576.0389, 16.30261
576.5210, 17.15576
577.0031, 18.82648
577.4852, 20.82489
577.9673, 22.07648
578.4495, 22.33582
578.9316, 22.67566
579.4137, 23.33057
579.8958, 24.34381
580.3779, 26.25586
580.8600, 29.11346
581.3422, 31.63245
581.8243, 32.64294
582.3064, 32.72357
582.7885, 32.95526
583.2706, 33.38483
583.7527, 34.51172
584.2349, 37.67511
584.7170, 41.42010
585.1991, 43.80682
585.6812, 43.40466
586.1633, 43.19604
586.6454, 45.00037
587.1276, 47.76447
587.6097, 49.55432
588.0918, 49.30988
588.5739, 48.83386
589.0560, 48.32739
589.5381, 47.84821
590.0203, 47.91376
590.5024, 48.92285
590.9845, 49.70282
591.4666, 49.58722
591.9487, 48.57526
592.4308, 47.73523
592.9130, 47.07263
593.3951, 46.61841
593.8772, 46.36884
594.3593, 46.35596
594.8414, 46.75983
595.3235, 47.71979
595.8057, 48.72699
596.2878, 49.45496
596.7699, 49.83124
597.2520, 49.71417
597.7341, 48.58514
598.2162, 47.38824
598.6984, 46.59906
599.1805, 46.12506
599.6626, 45.57977
600.1447, 44.90625
600.6268, 44.09491
601.1089, 43.11304
601.5911, 41.93848
602.0732, 40.78088
602.5553, 39.56744
603.0374, 38.50452
603.5195, 37.87012
604.0016, 37.73236
604.4838, 37.21021
604.9659, 36.24664
605.4480, 34.96350
605.9301, 33.22076
606.4122, 31.22473
606.8943, 29.84143
607.3765, 29.56549
607.8586, 29.54919
608.3407, 28.82709
608.8228, 27.62347
609.3049, 26.50818
