##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce^3+^_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
648.3564, 23.37207
648.8385, 28.94824
649.3206, 29.90039
649.8027, 27.09766
650.2849, 28.20898
650.7670, 33.40234
651.2491, 39.73145
651.7312, 46.92480
652.2133, 52.87402
652.6954, 52.78613
653.1776, 44.29004
653.6597, 35.03906
654.1418, 28.69434
654.6239, 24.84863
655.1060, 22.68555
655.5881, 23.68457
656.0703, 24.72559
656.5524, 26.33008
657.0345, 27.43652
657.5166, 25.78516
657.9987, 20.12598
658.4808, 14.84766
658.9630, 10.82422
659.4451, 7.917969
659.9272, 5.955078
660.4093, 4.933594
660.8914, 3.911133
661.3735, 2.598633
661.8557, 0.9833980
662.3378, 1.618164
662.8199, 4.902344
663.3020, 6.690430
663.7841, 3.583008
664.2662, 0.3505860
664.7484, 1.842773
665.2305, 0.2451170
665.7126, 2.053711
666.1947, 7.475586
666.6768, 11.27344
667.1589, 9.927734
667.6411, 0.2099610
668.1232, 7.266602
668.6053, 10.46387
669.0874, 11.31152
669.5695, 11.37988
670.0516, 10.58887
670.5338, 9.589844
671.0159, 8.129883
671.4980, 7.161133
671.9801, 9.032227
